"full_name","suburb","speed","st_asgeojson"
"Salamanca Rd","Sunnynook","50","{""type"":""LineString"",""coordinates"":[[174.73846,-36.75785],[174.73802,-36.75803],[174.73785,-36.75805],[174.73768,-36.75803],[174.73752,-36.758],[174.73734,-36.75792],[174.73701,-36.75775],[174.73668,-36.75755],[174.73593,-36.75696]]}"
"Princeton Pde","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69392,-36.73979],[174.69372,-36.73973],[174.69356,-36.73967]]}"
"Dairy Flat Hwy","Dairy Flat","100","{""type"":""LineString"",""coordinates"":[[174.6666,-36.70908],[174.66658,-36.709],[174.66656,-36.7089],[174.66655,-36.70884],[174.66654,-36.70875],[174.66653,-36.70856]]}"
"Watea Rd","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.74893,-36.69417],[174.74852,-36.6933]]}"
"Weatherly Rd","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.73797,-36.70475],[174.73666,-36.70428],[174.73651,-36.70424],[174.7364,-36.70422],[174.73615,-36.70421],[174.73542,-36.70429]]}"
"Stanford St","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69333,-36.73906],[174.69333,-36.73894],[174.69335,-36.73884],[174.69339,-36.73877]]}"
"Albany Heights Rd","Dairy Flat","70","{""type"":""LineString"",""coordinates"":[[174.67945,-36.71026],[174.67955,-36.71018],[174.67964,-36.71009]]}"
"Richard Hill Clos","Fairview Heights","50","{""type"":""LineString"",""coordinates"":[[174.71875,-36.7088],[174.7193,-36.70858]]}"
"Syracuse Pl","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69852,-36.73985],[174.69925,-36.73974]]}"
"Santiago Cres","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.7248,-36.75408],[174.72454,-36.75402]]}"
"Andara Clos","Pinehill","50","{""type"":""LineString"",""coordinates"":[[174.72773,-36.72954],[174.72784,-36.72941],[174.72794,-36.72932],[174.7282,-36.72914],[174.72829,-36.72905],[174.72842,-36.72886]]}"
"Ashwood Ave","Dairy Flat","100","{""type"":""LineString"",""coordinates"":[[174.68149,-36.68792],[174.68118,-36.68749]]}"
"Unsworth Dr","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.71078,-36.75494],[174.71062,-36.75484],[174.71049,-36.75473],[174.71033,-36.75451]]}"
"Thelma Cres","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.73776,-36.70101],[174.73729,-36.70063],[174.7372,-36.7006],[174.73708,-36.7006],[174.73687,-36.70063],[174.7367,-36.70066],[174.73658,-36.70071],[174.73646,-36.70083]]}"
"Delisle Pl","Windsor Park","50","{""type"":""LineString"",""coordinates"":[[174.73799,-36.74432],[174.73725,-36.744]]}"
"Athena Dr","Totara Vale","50","{""type"":""LineString"",""coordinates"":[[174.72904,-36.75804],[174.72888,-36.75797]]}"
"Mahoenui Valley Rd","Coatesville","50","{""type"":""LineString"",""coordinates"":[[174.64719,-36.71774],[174.64302,-36.71632],[174.64278,-36.71623]]}"
"Matipo Rd","Mairangi Bay","50","{""type"":""LineString"",""coordinates"":[[174.74908,-36.74495],[174.7491,-36.74488],[174.74911,-36.74478],[174.74906,-36.74439],[174.74907,-36.74431]]}"
"Mulroy Pl","Pinehill","50","{""type"":""LineString"",""coordinates"":[[174.7321,-36.7336],[174.7313,-36.73385],[174.73115,-36.73389],[174.73103,-36.73389],[174.73092,-36.73386],[174.73083,-36.7338],[174.73076,-36.73372],[174.73071,-36.73363],[174.7306,-36.73325],[174.73055,-36.73315],[174.73035,-36.73287],[174.73029,-36.73275],[174.73022,-36.73255]]}"
"Scarboro Ter","Murrays Bay","50","{""type"":""LineString"",""coordinates"":[[174.75187,-36.73507],[174.75138,-36.73459],[174.75131,-36.73451],[174.75126,-36.73442]]}"
"Belle Verde Dr","Sunnynook","50","{""type"":""LineString"",""coordinates"":[[174.74077,-36.74863],[174.74116,-36.74888],[174.74123,-36.74889],[174.7413,-36.74888],[174.7414,-36.74882],[174.74159,-36.74866],[174.74167,-36.74852],[174.74177,-36.74817],[174.74178,-36.74807],[174.74176,-36.748],[174.7417,-36.74786],[174.74168,-36.74779],[174.7417,-36.74771],[174.74174,-36.74765],[174.742,-36.74743],[174.74207,-36.74736],[174.74211,-36.74728],[174.74215,-36.74714]]}"
"Bellbird Rise","Murrays Bay","50","{""type"":""LineString"",""coordinates"":[[174.73867,-36.73254],[174.7388,-36.73258],[174.73894,-36.7326],[174.7391,-36.7326],[174.73983,-36.73256],[174.74005,-36.73252],[174.74025,-36.73246],[174.74047,-36.73236],[174.74146,-36.73181],[174.7416,-36.73174]]}"
"Vaughans Rd","Okura","80","{""type"":""LineString"",""coordinates"":[[174.7194,-36.6887],[174.71986,-36.6885],[174.72003,-36.68844],[174.72019,-36.6884]]}"
"Bintulu Pl","Fairview Heights","50","{""type"":""LineString"",""coordinates"":[[174.71531,-36.70906],[174.71571,-36.70833]]}"
"Relko Cres","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.73779,-36.69569],[174.73794,-36.69525],[174.73808,-36.69493],[174.73815,-36.69485],[174.73827,-36.6948],[174.73848,-36.69476],[174.7386,-36.69471],[174.73868,-36.69465],[174.73874,-36.69457],[174.73879,-36.69446],[174.73885,-36.69437]]}"
"Witton Pl","Schnapper Rock","50","{""type"":""LineString"",""coordinates"":[[174.68391,-36.75221],[174.68396,-36.75203],[174.68404,-36.75185],[174.68405,-36.75177],[174.68404,-36.7517],[174.68401,-36.75166],[174.68395,-36.75162],[174.68383,-36.75158],[174.68364,-36.75156],[174.68349,-36.75152],[174.68331,-36.75145]]}"
"Ramsgate Ter","Mairangi Bay","50","{""type"":""LineString"",""coordinates"":[[174.75261,-36.74048],[174.75282,-36.74031],[174.75361,-36.7396],[174.75366,-36.73944]]}"
"Carol Lee Pl","Albany Heights","50","{""type"":""LineString"",""coordinates"":[[174.69439,-36.7186],[174.69429,-36.71855],[174.69398,-36.71841]]}"
"Foley Quarry Rd","Dairy Flat","80","{""type"":""LineString"",""coordinates"":[[174.67497,-36.70093],[174.67523,-36.70021]]}"
"Nimstedt Ave","Oteha","50","{""type"":""LineString"",""coordinates"":[[174.72229,-36.71557],[174.72196,-36.71542],[174.72126,-36.71503]]}"
"Vaughans Rd","Okura","80","{""type"":""LineString"",""coordinates"":[[174.71919,-36.68882],[174.71929,-36.68875],[174.7194,-36.6887]]}"
"Salem Pl","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.7461,-36.69943],[174.74585,-36.69772]]}"
"Timnath Serah Ave","Albany Heights","50","{""type"":""LineString"",""coordinates"":[[174.69811,-36.72178],[174.69854,-36.7215]]}"
"Bournemouth Ter","Murrays Bay","50","{""type"":""LineString"",""coordinates"":[[174.75434,-36.73616],[174.75372,-36.73524],[174.75355,-36.73502],[174.75339,-36.73484]]}"
"Stanford St","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69336,-36.73922],[174.69333,-36.73906]]}"
"Rosemary Ave","Forrest Hill","50","{""type"":""LineString"",""coordinates"":[[174.74663,-36.75586],[174.74703,-36.75562],[174.74726,-36.75535],[174.74737,-36.75515]]}"
"Red Shed Ln","Albany","50","{""type"":""LineString"",""coordinates"":[[174.708,-36.74104],[174.70803,-36.74083],[174.70802,-36.74074],[174.708,-36.74065],[174.70795,-36.74022],[174.70794,-36.73989]]}"
"Hobson Rd","Lucas Heights","80","{""type"":""LineString"",""coordinates"":[[174.67679,-36.72317],[174.67693,-36.72278],[174.67719,-36.72207],[174.67737,-36.72158]]}"
"Foley Quarry Rd","Dairy Flat","80","{""type"":""LineString"",""coordinates"":[[174.6736,-36.69755],[174.67498,-36.69637]]}"
"Nor'East Dr","Northcross","50","{""type"":""LineString"",""coordinates"":[[174.7312,-36.70891],[174.73119,-36.70882],[174.73115,-36.70869],[174.73099,-36.70826]]}"
"Tawa Dr","Albany","50","{""type"":""LineString"",""coordinates"":[[174.71661,-36.73858],[174.7165,-36.73818]]}"
"Foley Quarry Rd","Dairy Flat","80","{""type"":""LineString"",""coordinates"":[[174.67538,-36.69496],[174.67546,-36.69486]]}"
"Beach Rd","Browns Bay","50","{""type"":""LineString"",""coordinates"":[[174.74154,-36.72348],[174.74166,-36.72309],[174.74185,-36.72251],[174.74203,-36.72195]]}"
,"Albany","50","{""type"":""LineString"",""coordinates"":[[174.70745,-36.73117],[174.7076,-36.731]]}"
"Coatesville Hts","Coatesville","80","{""type"":""LineString"",""coordinates"":[[174.63582,-36.73398],[174.63627,-36.73395],[174.63728,-36.73394],[174.63755,-36.73396],[174.63777,-36.73403],[174.638,-36.73408],[174.63816,-36.73407],[174.63834,-36.73403],[174.63853,-36.73395],[174.63878,-36.73363],[174.63889,-36.73353],[174.63907,-36.73347],[174.64014,-36.73314],[174.64062,-36.73306],[174.64176,-36.73304],[174.64196,-36.733],[174.64217,-36.73289],[174.64231,-36.73276],[174.64241,-36.73262],[174.6425,-36.73231],[174.6427,-36.7318],[174.64305,-36.7313],[174.64313,-36.73124]]}"
,"Albany","50","{""type"":""LineString"",""coordinates"":[[174.70397,-36.72297],[174.70396,-36.72293],[174.70394,-36.7229],[174.7039,-36.72287],[174.70386,-36.72285]]}"
"Dove Pl","Schnapper Rock","50","{""type"":""LineString"",""coordinates"":[[174.68067,-36.75187],[174.68034,-36.7516],[174.68021,-36.75147],[174.68012,-36.75134],[174.68006,-36.75121],[174.67996,-36.75091]]}"
"Hobson Heights Rd","Lucas Heights","50","{""type"":""LineString"",""coordinates"":[[174.68204,-36.72457],[174.6802,-36.72434]]}"
,"Torbay","50","{""type"":""LineString"",""coordinates"":[[174.73373,-36.70406],[174.73371,-36.70404],[174.73368,-36.70403],[174.73364,-36.70403],[174.73361,-36.70404]]}"
"Vanderbilt Pde","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69619,-36.73982],[174.69615,-36.73937],[174.69614,-36.73928]]}"
"Amherst Pl","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69652,-36.74149],[174.69743,-36.74138]]}"
"Mahoney Dr","Albany","50","{""type"":""LineString"",""coordinates"":[[174.6878,-36.7388],[174.68835,-36.73832]]}"
"Taumata Rd","Castor Bay","50","{""type"":""LineString"",""coordinates"":[[174.76069,-36.75991],[174.76049,-36.75979],[174.76009,-36.75947],[174.75977,-36.75923]]}"
"Marquette Ave","Albany","50","{""type"":""LineString"",""coordinates"":[[174.70084,-36.73879],[174.70153,-36.73869]]}"
"Stitchbird Clos","Murrays Bay","50","{""type"":""LineString"",""coordinates"":[[174.74087,-36.73132],[174.74086,-36.73118],[174.74082,-36.73107],[174.74064,-36.73082]]}"
"Beach Rd","Murrays Bay","10","{""type"":""LineString"",""coordinates"":[[174.74988,-36.72833],[174.74984,-36.72806]]}"
"Meadowood Dr","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.72144,-36.75325],[174.72163,-36.7533],[174.72182,-36.75332],[174.72199,-36.75331],[174.72215,-36.75327],[174.72232,-36.7532]]}"
,"Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.72665,-36.75055],[174.72652,-36.75049],[174.72642,-36.75044],[174.72632,-36.75038],[174.72614,-36.75027]]}"
"Trotting Ter","Fairview Heights","50","{""type"":""LineString"",""coordinates"":[[174.7209,-36.71142],[174.72119,-36.71105],[174.72127,-36.71096],[174.72134,-36.71083],[174.72138,-36.71068],[174.7214,-36.7105]]}"
"Nigel Rd","Browns Bay","50","{""type"":""LineString"",""coordinates"":[[174.74047,-36.71854],[174.74037,-36.7182],[174.74029,-36.71809],[174.74016,-36.71797],[174.7399,-36.71783],[174.7393,-36.71759]]}"
"Albany Heights Rd","Albany Heights","70","{""type"":""LineString"",""coordinates"":[[174.69074,-36.7097],[174.69068,-36.70963],[174.69062,-36.70953],[174.69057,-36.70944],[174.69042,-36.70904],[174.69038,-36.70895],[174.69032,-36.70883]]}"
"Kirkdale Pl","Northcross","50","{""type"":""LineString"",""coordinates"":[[174.72932,-36.70744],[174.72934,-36.70733],[174.72933,-36.70718],[174.72931,-36.70699]]}"
"Finchley Rd","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.73802,-36.70694],[174.73812,-36.70668],[174.73816,-36.70656]]}"
"Churchill Rd","Murrays Bay","50","{""type"":""LineString"",""coordinates"":[[174.75454,-36.7282],[174.75395,-36.72812],[174.7538,-36.72809],[174.75369,-36.72804],[174.75359,-36.72797],[174.75301,-36.72742],[174.75292,-36.72731],[174.75286,-36.72719],[174.75284,-36.72707],[174.75284,-36.72696],[174.75288,-36.72684],[174.75294,-36.72675],[174.7531,-36.72659],[174.75333,-36.72642],[174.75342,-36.72635],[174.75347,-36.72628]]}"
"Mandeville Pl","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.72135,-36.75856],[174.72125,-36.7585],[174.72113,-36.75846],[174.72101,-36.75843],[174.72067,-36.75838]]}"
"Kama Pl","Sunnynook","50","{""type"":""LineString"",""coordinates"":[[174.73301,-36.7548],[174.7331,-36.75456],[174.73317,-36.75438],[174.73319,-36.75428],[174.73321,-36.75415]]}"
"Caribbean Dr","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.71929,-36.75758],[174.71929,-36.75748],[174.71929,-36.75742],[174.71934,-36.75712]]}"
"Shannon Pl","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.73223,-36.70256],[174.73254,-36.70244],[174.73265,-36.70237],[174.73271,-36.70232],[174.73277,-36.70224],[174.73281,-36.70212],[174.73288,-36.70173]]}"
"Glencoe Rd","Browns Bay","50","{""type"":""LineString"",""coordinates"":[[174.73666,-36.7186],[174.73694,-36.71859],[174.73724,-36.71858],[174.73765,-36.71857],[174.73786,-36.71856],[174.738,-36.71854],[174.73812,-36.71851],[174.73824,-36.71847],[174.73836,-36.71841]]}"
"Montgomery Ave","Rothesay Bay","50","{""type"":""LineString"",""coordinates"":[[174.75144,-36.72608],[174.75219,-36.72602],[174.7524,-36.72599],[174.75256,-36.72595],[174.75271,-36.7259],[174.75322,-36.72569]]}"
"Glamorgan Dr","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.74457,-36.70062],[174.74484,-36.7006],[174.74519,-36.70057],[174.74551,-36.70054],[174.74574,-36.70051],[174.74604,-36.70047]]}"
,"Torbay",,"{""type"":""LineString"",""coordinates"":[[174.7517,-36.69612],[174.75164,-36.69614],[174.7516,-36.69614],[174.75157,-36.69611],[174.75153,-36.696],[174.75148,-36.69593],[174.75084,-36.69548]]}"
"O'Brien Rd","Coatesville","80","{""type"":""LineString"",""coordinates"":[[174.66679,-36.71575],[174.66676,-36.71562]]}"
"Beach Rd","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.75256,-36.69658],[174.75248,-36.69652],[174.75241,-36.69645],[174.75236,-36.69638]]}"
"Killybegs Dr","Pinehill","50","{""type"":""LineString"",""coordinates"":[[174.73022,-36.73255],[174.73044,-36.73254],[174.73061,-36.73252],[174.73078,-36.73248],[174.73093,-36.73242],[174.73108,-36.73233]]}"
"Kittiwake Dr","Schnapper Rock","50","{""type"":""LineString"",""coordinates"":[[174.68501,-36.75944],[174.68504,-36.75943]]}"
"Oakway Dr","Schnapper Rock","50","{""type"":""LineString"",""coordinates"":[[174.69087,-36.75386],[174.69072,-36.75367],[174.69066,-36.75355],[174.69063,-36.7534],[174.69063,-36.75325],[174.69067,-36.75308],[174.69097,-36.75241]]}"
"Andersons Rd W","Oteha","50","{""type"":""LineString"",""coordinates"":[[174.71907,-36.71484],[174.71882,-36.71476],[174.71874,-36.71475]]}"
"Beach Rd","Rothesay Bay","50","{""type"":""LineString"",""coordinates"":[[174.74432,-36.72626],[174.74417,-36.72624],[174.74352,-36.72616]]}"
"Fitzwilliam Dr","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.73104,-36.69817],[174.73118,-36.69815],[174.73152,-36.69811],[174.73179,-36.69808],[174.73214,-36.69804],[174.73242,-36.69801],[174.73262,-36.69799],[174.73286,-36.69796]]}"
"Fernhill Way","Oteha","50","{""type"":""LineString"",""coordinates"":[[174.71903,-36.71883],[174.71885,-36.71874],[174.71864,-36.71866],[174.71832,-36.71857],[174.71799,-36.71852],[174.71765,-36.71851]]}"
"Topliss Dr","Northcross","50","{""type"":""LineString"",""coordinates"":[[174.72931,-36.70699],[174.72864,-36.70694],[174.72842,-36.70691],[174.72811,-36.70684],[174.72756,-36.70669],[174.72743,-36.70663],[174.72734,-36.70656],[174.72729,-36.70644]]}"
"Tacitus Pl","Totara Vale","50","{""type"":""LineString"",""coordinates"":[[174.72571,-36.75933],[174.72526,-36.75932]]}"
,"Browns Bay","10","{""type"":""LineString"",""coordinates"":[[174.74779,-36.71446],[174.74777,-36.71399]]}"
"Jayne Pl","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.74231,-36.69328],[174.74299,-36.69318],[174.74315,-36.69315],[174.74327,-36.6931],[174.74336,-36.69303],[174.74352,-36.69287]]}"
"Ian Sage Ave","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.7405,-36.69424],[174.74047,-36.69418],[174.74043,-36.69413],[174.74038,-36.69409],[174.74028,-36.69403],[174.74006,-36.69391],[174.73985,-36.69379]]}"
"Amante Cres","Mairangi Bay","50","{""type"":""LineString"",""coordinates"":[[174.74586,-36.74256],[174.74464,-36.7411],[174.7445,-36.741],[174.74434,-36.74094],[174.7442,-36.74092]]}"
"Constellation Dr","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.72675,-36.75066],[174.72708,-36.75056]]}"
"Lambir Pl","Fairview Heights","50","{""type"":""LineString"",""coordinates"":[[174.71749,-36.7085],[174.71715,-36.7079]]}"
"Durey Rd","Dairy Flat","100","{""type"":""LineString"",""coordinates"":[[174.67007,-36.68912],[174.67048,-36.68896]]}"
"Dairy Flat Hwy","Lucas Heights","80","{""type"":""LineString"",""coordinates"":[[174.67401,-36.7141],[174.67393,-36.71402],[174.67382,-36.7139]]}"
"Beach Rd","Rothesay Bay","10","{""type"":""LineString"",""coordinates"":[[174.74192,-36.72623],[174.74245,-36.72615],[174.74256,-36.72612],[174.74271,-36.72606]]}"
"Morton Ave","Forrest Hill","50","{""type"":""LineString"",""coordinates"":[[174.74652,-36.75357],[174.74583,-36.75337],[174.74512,-36.75315]]}"
"Watea Rd","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.74932,-36.695],[174.74893,-36.69417]]}"
"Totaravale Dr","Totara Vale","50","{""type"":""LineString"",""coordinates"":[[174.73409,-36.76045],[174.73392,-36.76027],[174.73382,-36.76012],[174.73353,-36.75967]]}"
"Don McKinnon Dr","Albany","50","{""type"":""LineString"",""coordinates"":[[174.70661,-36.73069],[174.70637,-36.73057],[174.70617,-36.73046],[174.70597,-36.73033],[174.70583,-36.73023],[174.7057,-36.73013]]}"
"Jutland St","Mairangi Bay","50","{""type"":""LineString"",""coordinates"":[[174.7491,-36.73716],[174.74946,-36.7371],[174.74978,-36.73704],[174.75013,-36.73694],[174.75071,-36.73674],[174.75084,-36.73668],[174.75092,-36.73662],[174.75097,-36.73654],[174.75101,-36.73642]]}"
"Paul Matthews Rd","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.70959,-36.75092],[174.71014,-36.75084]]}"
"Langana Ave","Browns Bay","50","{""type"":""LineString"",""coordinates"":[[174.72525,-36.72501],[174.72478,-36.72385],[174.72474,-36.72371],[174.72472,-36.72358],[174.72474,-36.72345],[174.72479,-36.72333],[174.72486,-36.72323],[174.72498,-36.72312],[174.72514,-36.72303],[174.72612,-36.72259],[174.72623,-36.72252],[174.72632,-36.72241],[174.72637,-36.72229],[174.7264,-36.72217],[174.7264,-36.72208],[174.72638,-36.72198],[174.72622,-36.72167],[174.72617,-36.72153]]}"
,"Browns Bay","10","{""type"":""LineString"",""coordinates"":[[174.74041,-36.71476],[174.74049,-36.71473],[174.74063,-36.7147],[174.7407,-36.71467],[174.74074,-36.71463],[174.74077,-36.71457]]}"
"Haigh Access Rd","Dairy Flat","80","{""type"":""LineString"",""coordinates"":[[174.69753,-36.68161],[174.69754,-36.68153],[174.69754,-36.68149]]}"
"Saddleback Rise","Murrays Bay","50","{""type"":""LineString"",""coordinates"":[[174.74171,-36.73487],[174.74173,-36.73409],[174.74175,-36.73394],[174.74178,-36.73383],[174.74183,-36.73374]]}"
"Santiago Cres","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.72361,-36.75304],[174.72395,-36.75279],[174.72413,-36.75269],[174.72434,-36.75261],[174.72451,-36.75257]]}"
,"Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.71989,-36.75867],[174.71991,-36.75866],[174.71995,-36.75865],[174.71998,-36.75865],[174.72001,-36.75866],[174.72003,-36.75867]]}"
"Glenvar Clos","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.7243,-36.70008],[174.72406,-36.69948]]}"
"Paul Matthews Rd","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.71371,-36.75076],[174.71365,-36.75071],[174.71358,-36.75066],[174.71352,-36.75062],[174.71344,-36.75057],[174.71335,-36.75053],[174.71327,-36.7505]]}"
"Upper Harbour Hwy","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.72548,-36.75101],[174.72566,-36.75097]]}"
"Dairy Flat Hwy","Lucas Heights","80","{""type"":""LineString"",""coordinates"":[[174.67322,-36.71318],[174.6731,-36.71306],[174.67301,-36.71297],[174.67291,-36.71288]]}"
"Northwood Ave","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69969,-36.74107],[174.69955,-36.74041]]}"
"Stapleford Cres","Browns Bay","50","{""type"":""LineString"",""coordinates"":[[174.73447,-36.7163],[174.73526,-36.71546],[174.73534,-36.71533],[174.7354,-36.71519],[174.73543,-36.71506],[174.73543,-36.71493],[174.73541,-36.71481],[174.73537,-36.7147],[174.73532,-36.7146],[174.73525,-36.71451],[174.73514,-36.71442],[174.73501,-36.71435],[174.73469,-36.7142],[174.73375,-36.7135],[174.73364,-36.71343],[174.73351,-36.71337],[174.73336,-36.71332],[174.73303,-36.71324],[174.73289,-36.71319],[174.73277,-36.71313],[174.73266,-36.71305],[174.73258,-36.71295],[174.73254,-36.71283],[174.73253,-36.71272],[174.73254,-36.71259],[174.73259,-36.71245],[174.73275,-36.71223],[174.73289,-36.71212],[174.73302,-36.71204],[174.7332,-36.71197],[174.73338,-36.71193],[174.73357,-36.71192],[174.73372,-36.71193]]}"
"Constellation Dr","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.72665,-36.75055],[174.72693,-36.75047],[174.72703,-36.75044],[174.72714,-36.75041],[174.72723,-36.75038]]}"
"Oaktree Ave","Browns Bay","50","{""type"":""LineString"",""coordinates"":[[174.73392,-36.72101],[174.73398,-36.72093],[174.73405,-36.72085],[174.73415,-36.72077],[174.73422,-36.72072],[174.73432,-36.72067],[174.73442,-36.72063],[174.73455,-36.72059],[174.73479,-36.72054],[174.73495,-36.72051],[174.73506,-36.72048],[174.73517,-36.72044],[174.73528,-36.72038],[174.73537,-36.72031],[174.73545,-36.72022],[174.73549,-36.72016],[174.73554,-36.72007],[174.73563,-36.71992],[174.73572,-36.7198],[174.73578,-36.71973],[174.73584,-36.71967],[174.73592,-36.71961],[174.73603,-36.71954],[174.73622,-36.71943]]}"
"Erica Rd","Sunnynook","50","{""type"":""LineString"",""coordinates"":[[174.73919,-36.75186],[174.73935,-36.75176],[174.73953,-36.75162],[174.7397,-36.75145],[174.73988,-36.75127]]}"
"Morlie Pl","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.75302,-36.69198],[174.75329,-36.69186],[174.75341,-36.69182],[174.75367,-36.69174]]}"
"Calypso Way","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.71806,-36.75644],[174.718,-36.75635]]}"
"Henry Rose Pl","Albany","50","{""type"":""LineString"",""coordinates"":[[174.71499,-36.74093],[174.71495,-36.74082],[174.71471,-36.73973],[174.71466,-36.73945]]}"
"Syracuse Pl","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69852,-36.73985],[174.69849,-36.73976]]}"
"Oak Manor Dr","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69087,-36.74499],[174.69069,-36.74488],[174.69065,-36.74482],[174.69065,-36.74476],[174.69072,-36.74463],[174.69076,-36.74453],[174.69081,-36.74438],[174.69085,-36.74432],[174.6909,-36.74427],[174.69098,-36.74424],[174.69106,-36.74423],[174.69115,-36.74425],[174.69137,-36.74435],[174.69149,-36.74439],[174.6916,-36.74441],[174.69181,-36.74444],[174.69189,-36.74447],[174.69195,-36.74451],[174.69201,-36.74458],[174.69217,-36.7448],[174.6922,-36.74487],[174.69221,-36.74493]]}"
"Kilear Clos","Pinehill","50","{""type"":""LineString"",""coordinates"":[[174.73248,-36.73265],[174.7322,-36.7327],[174.73211,-36.73273],[174.73194,-36.73279],[174.73186,-36.73281],[174.73176,-36.73281],[174.73168,-36.73279],[174.7316,-36.73275],[174.73124,-36.73244],[174.73108,-36.73233]]}"
"Woodridge Ave","Northcross","50","{""type"":""LineString"",""coordinates"":[[174.73063,-36.71296],[174.73053,-36.71289],[174.7304,-36.71283],[174.73024,-36.71277]]}"
"Samuel's Ln","Albany","50","{""type"":""LineString"",""coordinates"":[[174.70709,-36.7398],[174.70736,-36.73965],[174.70744,-36.73962],[174.70756,-36.7396],[174.70766,-36.73961],[174.70775,-36.73964],[174.70783,-36.7397]]}"
"Centorian Dr","Windsor Park","50","{""type"":""LineString"",""coordinates"":[[174.73746,-36.74568],[174.73706,-36.74508],[174.737,-36.74495],[174.73697,-36.74481],[174.73696,-36.74464],[174.73698,-36.74451],[174.73703,-36.74438],[174.73725,-36.744]]}"
"The Promenade","Coatesville","80","{""type"":""LineString"",""coordinates"":[[174.66122,-36.73389],[174.66114,-36.73381],[174.66106,-36.73368],[174.66095,-36.73352]]}"
"Durey Rd","Dairy Flat","100","{""type"":""LineString"",""coordinates"":[[174.67813,-36.69158],[174.67785,-36.69152]]}"
"Marine Pde S","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.72566,-36.75097],[174.72557,-36.75086]]}"
"Albany Hwy","Schnapper Rock","50","{""type"":""LineString"",""coordinates"":[[174.69807,-36.75387],[174.69743,-36.75339]]}"
"East Coast Rd","Mairangi Bay","50","{""type"":""LineString"",""coordinates"":[[174.74087,-36.73822],[174.74077,-36.73818],[174.74066,-36.73814]]}"
"Killybegs Dr","Pinehill","50","{""type"":""LineString"",""coordinates"":[[174.73108,-36.73233],[174.73118,-36.7322],[174.73123,-36.73209],[174.73126,-36.73195],[174.73125,-36.73184],[174.73122,-36.73174]]}"
"Salamanca Rd","Sunnynook","50","{""type"":""LineString"",""coordinates"":[[174.73593,-36.75696],[174.73552,-36.75661],[174.73525,-36.75642],[174.73494,-36.75622],[174.73453,-36.75595]]}"
,"Campbells Bay","50","{""type"":""LineString"",""coordinates"":[[174.7619,-36.74779],[174.76223,-36.74775]]}"
"Toroa St","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.75469,-36.69422],[174.75662,-36.69328]]}"
"Mowbray Pl","Sunnynook","50","{""type"":""LineString"",""coordinates"":[[174.73663,-36.75634],[174.73732,-36.75606]]}"
"Manutara Ave","Forrest Hill","50","{""type"":""LineString"",""coordinates"":[[174.74734,-36.75654],[174.74689,-36.75623],[174.74669,-36.75602],[174.74663,-36.75586]]}"
"Cranston St","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.7341,-36.70576],[174.73294,-36.70559]]}"
