"full_name","suburb","speed","st_asgeojson"
,"Albany Heights","70","{""type"":""LineString"",""coordinates"":[[174.69654,-36.71226],[174.69654,-36.71209],[174.69651,-36.712],[174.69646,-36.71192],[174.69635,-36.71178]]}"
"Wright Rd","Dairy Flat","70","{""type"":""LineString"",""coordinates"":[[174.69784,-36.69168],[174.69789,-36.69154],[174.69794,-36.69145]]}"
"Dairy Flat Hwy","Dairy Flat","100","{""type"":""LineString"",""coordinates"":[[174.65834,-36.68418],[174.65786,-36.684],[174.65727,-36.68378],[174.65669,-36.68356]]}"
"Excelsa Pl","Albany","50","{""type"":""LineString"",""coordinates"":[[174.71242,-36.7386],[174.71211,-36.73854]]}"
"Redwing St","Browns Bay","50","{""type"":""LineString"",""coordinates"":[[174.73275,-36.72149],[174.73259,-36.72121]]}"
"Mallard Pl","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.71647,-36.75502],[174.71643,-36.75514],[174.71638,-36.75521],[174.7163,-36.75528],[174.71622,-36.75533],[174.71611,-36.75536],[174.71597,-36.75537],[174.71584,-36.75534],[174.71576,-36.7553],[174.71568,-36.75524],[174.71561,-36.75515],[174.71556,-36.75504],[174.71551,-36.75491],[174.71544,-36.75482],[174.71536,-36.75474],[174.71514,-36.75459]]}"
"Miri Rd","Rothesay Bay","50","{""type"":""LineString"",""coordinates"":[[174.74758,-36.72155],[174.74738,-36.72009]]}"
"Sherwood Grv","Northcross","50","{""type"":""LineString"",""coordinates"":[[174.72958,-36.71336],[174.72965,-36.71329],[174.72973,-36.71323],[174.72988,-36.71314],[174.72997,-36.71307],[174.73024,-36.71277]]}"
"Auld St","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.75256,-36.69658],[174.7532,-36.69624]]}"
"Mandeville Pl","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.72003,-36.75867],[174.7205,-36.7584]]}"
"East Coast Rd","Murrays Bay","50","{""type"":""LineString"",""coordinates"":[[174.73737,-36.73626],[174.73727,-36.73624],[174.73716,-36.73622],[174.73705,-36.73621],[174.73693,-36.7362],[174.73671,-36.7362],[174.73661,-36.7362],[174.73651,-36.73621]]}"
"Graham Collins Dr","Windsor Park","50","{""type"":""LineString"",""coordinates"":[[174.73326,-36.73624],[174.73322,-36.73596],[174.73319,-36.73584],[174.73314,-36.73573],[174.73305,-36.73558],[174.73297,-36.73549],[174.73289,-36.73541],[174.73274,-36.73532]]}"
"Albany Heights Rd","Dairy Flat","70","{""type"":""LineString"",""coordinates"":[[174.67819,-36.711],[174.6783,-36.71098],[174.6784,-36.71095]]}"
"Gleanor Ave","Oteha","50","{""type"":""LineString"",""coordinates"":[[174.72295,-36.71417],[174.72302,-36.71417],[174.72308,-36.71414],[174.72354,-36.71362]]}"
"Sorbonne Clos","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69391,-36.73846],[174.69369,-36.7381]]}"
"Beach Rd","Murrays Bay","50","{""type"":""LineString"",""coordinates"":[[174.75279,-36.73185],[174.75266,-36.73151],[174.75261,-36.73139],[174.75257,-36.73129]]}"
"Piermark Dr","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.6999,-36.74845],[174.70049,-36.74813],[174.70069,-36.74804],[174.70089,-36.74797],[174.70109,-36.74793],[174.70134,-36.74791],[174.70562,-36.7479]]}"
"Living Stream Rd","Albany Heights","50","{""type"":""LineString"",""coordinates"":[[174.69902,-36.7206],[174.69841,-36.72035]]}"
